initial,appellate,judges
1,0,"Creppy, Michael J."
0,1,"Pauley, Roger; Wendtland, Linda S.; Donovan, Teresa L."
0,1,"Greer, Anne J.; Pauley, Roger; Wendtland, Linda S. "
0,1,"Greer, Anne J.; Pauley, Roger; Wendtland, Linda S."
0,1,"Cole, Patricia A.; Greer, Anne J.; Pauley, Roger"
0,1,"Pauley, Roger; Wendtland, Linda S.; Donovan, Teresa L."
1,0,"Grant, Edward R."
0,1,"Wendtland, Linda S.; Greer, Anne J.; Pauley, Roger"
0,1,"Adkins-Blanch, Charles K.; Greer, Anne J.; Miller, Neil P. "
0,1,"Guendelsberger, John; O'Leary, Brian M.; Grant, Edward R. "
0,1,"Adkins-Blanch, Charles K.; Greer, Anne J.; O'Herron, Margaret M "
1,0,"Grant, Edward R."
0,1,"Adkins-Blanch, Charles K.; O'Connor, Blair; O'Leary, Brian M."
0,1,"Pauley, Roger; Greer, Anne J.; Wendtland, Linda S."
0,1,"Greer, Anrie J.; Adkins-Blanch, Charles K.; O'Herron, Margaret M"
0,1,"Pauley, Roger; Guendelsberger, John; Geller, Joan B "
0,1,"Adkins-Blanch, Charles K.,Mann, Ana O'Connor, Blair"
0,1,"Greer, Anne J. Miller, Neil P. O'Herron, Margaret M "
0,1,"Creppy, Michael J. Liebowitz, Ellen C Mullane, Hugh G."
0,1,"Kelly, Edward F. Grant, Edward R. Pauley, Roger"
0,1,"Guendelsberger, John Liebowitz, Ellen C Malphrus, Garry D."
0,1,"Kendall Clark, Molly Neal, David L Adkins-Blanch, Charles K. "
0,1,"Greer, Anne J. Kelly, Edward F. Kendall Clark, Molly "
0,1,"Mullane, Hugh G. Creppy, Michael J. Liebowitz, Ellen C"
0,1,"Adkins-Blanch, Charles K. Cole, Patricia A. Grant, Edward R."
0,1,"Pauley, Roger Wendtland, Linda S. Greer, Anne J. "
0,1,"Guendelsberger, John Kendall Clark, Molly Grant, Edward R."
0,1,"Grant, Edward R. Adkins-Blanch, Charles K. Mann, Ana"
1,0,"Grant, Edward R."
1,0,"Geller, Joan B "
0,1,"Pauley, Roger Greer, Anne J. Crossett, John P."
0,1,"Cole, Patricia A Greer, Anne J. Crossett, John P."
1,0,"Grant, Edward R."
0,1,"Adkins-Blanch, Charles K.; Pauley, Roger; Snow, Thomas G"
0,1,"Pauley, Roger; Greer, Anne J.; Wendtland, Linda S."
0,1,"Adkins-Blanch, Charles K;  Kelly, Edward F.; Snow, Thomas G"
0,1,"Crossett, John P.; Wendtland, Linda S.; Greer, Anne J."
0,1,"Malphrus, Garry D.; Creppy, Michael J.; Hunsucker, Keith E."
0,1,"Greer, Anne J.; Wendtland, Linda S.; Crossett, John P."
0,1,"Wendtland, Linda S.; Greer, Anne J.; Crossett, John P."
0,1,"Liebowitz, Ellen C; Malphrus, Garry D.; Mullane, Hugh G."
0,1,"Adkins-Blanch, Charles K.; Geller, Joan B; Snow, Thomas G"
0,1,"Grant, Edward R.; Guendelsberger, John; Kendall Clark, Molly"
0,1,"Grant, Edward R.; Guendelsberger, John; Kendall Clark, Molly"
0,1,"Geller, Joan B; Adkins-Blanch, Charles K.; Kelly, Edward F."
0,1,"Guendelsberger, John; Adkins-Blanch, Charles K.; Kendall Clark, Molly"
0,1,"Donovan, Teresa L.; Greer, Anne J.; Wendtland, Linda S."
0,1,"Donovan, Teresa L.; Wendtland, Linda S.; Crossett, John P."
0,1,"Greer, Anne J.; O'Connor, Blair; Crossett, John P."
0,1,"Cole, Patricia A.; Greer, Anne J.; Donovan, Teresa L."
0,1,"Guendelsberger, John; Grant, Edward R.; Kendall Clark, Molly"
1,0,"Grant, Edward R."
0,1,"Crossett, John P.; Wendtland, Linda S;. Greer, Anne J."
0,1,"Kendall Clark, Molly; Guendelsberger, John; Grant, Edward R."
0,1,"Kendall Clark, Molly; Adkins-Blanch, Charles K.; Kelly, Edward F."
0,1,"Greer, Anne J.,; Pauley, Roger; Wendtland, Linda S."
1,0,"Adkins-Blanch, Charles K."
1,0,"Kelly, Edward F."
1,0,"Grant, Edward R."
0,1,"Wendtland, Linda S. Greer, Anne J., Cole, Patricia A"
0,1,"Wendtland, Linda S. Greer, Anne J. Donovan, Teresa L."
0,1,Gwendolyn T.D. Franks Assistant Chief Counsel
0,1,"Malphrus, Garry D. O'Connor, Blair Donovan, Teresa L."
0,1,"Mann, Ana, Kelly, Edward F. Adkins-Blanch, Charles K."
0,1,"Linda Wendtland, Blair O'Connor, Teresa Donovan"
0,1,"Teresa Donovan, Anne Greer, Linda Wendtland"
0,1,"Greer, Anne J., Cole, Patricia A., Wendtland, Linda S."
0,1,"Anne Greer, Roger Pauley, Linda Wendtland"
0,1,"Linda Wendtland, Teresa Donovan, Mark Noferi"
1,0,Mark Noferi
1,0,Edward Grant
0,1,"Ana Mann, Edward Kelly, Daniel Morris"
0,1,"Teresa Donovan, Linda Wendtland, Mark Noferi"
0,1,"Teresa Donovan, Anne Greer, Linda Wendtland"
0,1,"Edward Kelly, Daniel Morris, Beth Liebmann"
0,1,"Hugh Mullane, Garry Malphrus, Michael Baird"
0,1,"Charles Adkins-Blanch, Daniel Morris, Ana Mann"
0,1,"Teresa Donovan, Patricia Cole, Linda Wendtland"
0,1,"Michael Creppy, Ellen Liebowitz, Michael Baird"
0,1,"John Guendelsberger, Molly Kendall Clark, Charles Adkins-Blanch"
0,1,"Molly Kendall Clark, John Guendelsberger, Edward Grant"
1,0,Teresa Donovan
0,1,"Blair O'Connor, Scott Rosen, Teresa Donovan"
0,1,"Linda Wendtland, Teresa Donovan, Anne Greer"
0,1,"Michael Creppy, Ellen Liebowitz, Mark Noferi"
0,1,"Blair O'Connor, Linda Wendtland, Teresa Donovan"
0,1,"John Guendeisberg, Edward Grant, Molly Kendal Clark"
1,0,Anne Greer
0,1,"John Guendeisberg, Edward Grant, Edward Kelly"
0,1,"John Guendeisberg, Edward Grant, Molly Kendal Clark"
0,1,"Mark Noferi, Anne Greer, Blair O'Connor"
0,1,"Mark Noferi, Anne Greer, Linda Wendtland"
0,1,"Edward Kelly, Beth Liebman, CHarles Adkins-Blanch"
0,1,"Anne Greer, Michael Baird, Patricia Cole"
1,0,Edward Grant
0,1,"Linda Wendtland, Earie Wilson, Anne Greer"
0,1,"Blair O'Connor, Linda Wendtland, Anne Greer"
0,1,"Garry Malphrus, Ellen Liebowitz, Michael Baird"
0,1,"Mark Noferi, Anne Greer, Linda Wendtland"
0,1,Edward R. Grant; John Guendelsberger; Molly Kendall Clark
0,1,John Guendelsberger; Molly Kendall Clark; Edward R. Grant
0,1,Linda S. Wendtland; Anne J. Greer; Scott Rosen
0,1,Michael J. Creppy; Ellen C Liebowitz; Keith Hunsucker
0,1,"Mark, Noferi; Michael J. Creppy; Ellen C Liebowitz;"
0,1,Ellen C Liebowitz; Michael J. Creppy; William A. Cassidy
0,1,Stuart V. Couch; Edward F. Kelly; Stephanie Gorman
0,1,Blair O'Connor; Linda S. Wendtland; Anne J. Greer
0,1,Ana Mann; Beth S. Liebmann; Edward F. Kelly
1,0,Michael J. Creppy
0,1,Patricia A. Cole; William A. Cassidy; Scott Rosen
0,1,Anne J. Greer; Blair O'Connor; Linda S. Wendtland
0,1,Garry D. Malphrus; Keith Hunsucker; Michael J. Creppy
0,1,Ellen C Liebowitz; William A. Cassidy; Keith Hunsucker
0,1,Edward F. Kelly; Hugh G. Mullane; Beth S. Liebmann
0,1,Michael J. Creppy; Ellen C Liebowitz; Keith Hunsucker
1,0,"Goodwin, Deborah K"
0,1,"Noferi, Mark; O'Connor, Blair; Greer, Anne J."
1,0,"Goodwin, Deborah K"
1,0,"Kelly, Edward F"
1,0,"Noferi, Mark"
1,0,"O'Connor, Blair"
1,0,"Grant, Edward R"
0,1,"Greer, Anne J; Wendtland, Linda S; Donovan, Teresa L"
1,0,"Creppy, Michael J"
0,1,"Hunsucker, Keith; Creppy, Michael J; Liebowitz, Ellen C"
0,1,"Liebmann, Beth S; Kelly, Edward F; Rosen, Scott"
0,1,"Gemoets, Marcos; Morris, Daniel; Liebowitz, Ellen C"
0,1,"Gemoets, Marcos; Creppy Michael J; Liebowitz, Ellen C"
